Year,Sex,Dogs,Winner,Time,Hotdogs_per_minute
2025,1,70,Joey Chestnut,10,7
2025,0,33,Miki Sudo,10,3.3
2024,1,58,Patrick Bertoletti,10,5.8
2024,0,51,Miki Sudo,10,5.1
2023,1,62,Joey Chestnut,10,6.2
2023,0,39.5,Miki Sudo,10,3.95
2022,1,63,Joey Chestnut,10,6.3
2022,0,40,Miki Sudo,10,4
2021,1,76,Joey Chestnut,10,7.6
2021,0,30.75,Michelle Lesco,10,3.075
2020,1,75,Joey Chestnut,10,7.5
2020,0,48.5,Miki Sudo,10,4.85
2019,1,71,Joey Chestnut,10,7.1
2019,0,31,Miki Sudo,10,3.1
2018,1,74,Joey Chestnut,10,7.4
2018,0,37,Miki Sudo,10,3.7
2017,1,72,Joey Chestnut,10,7.2
2017,0,41,Miki Sudo,10,4.1
2016,1,70,Joey Chestnut,10,7
2016,0,38.5,Miki Sudo,10,3.85
2015,1,62,Matt Stonie,10,6.2
2015,0,38,Miki Sudo,10,3.8
2014,1,61,Joey Chestnut,10,6.1
2014,0,34,Miki Sudo,10,3.4
2013,1,69,Joey Chestnut,10,6.9
2013,0,36.75,Sonya Thomas,10,3.675
2012,1,68,Joey Chestnut,10,6.8
2012,0,45,Sonya Thomas,10,4.5
2011,1,62,Joey Chestnut,10,6.2
2011,0,40,Sonya Thomas,10,4
2010,1,54,Joey Chestnut,10,5.4
2009,1,68,Joey Chestnut,10,6.8
2008,1,59,Joey Chestnut,10,5.9
2007,1,66,Joey Chestnut,12,5.5
2006,1,53.75,Takeru Kobayashi,12,4.4791667
2005,1,49,Takeru Kobayashi,12,4.0833333
2004,1,53.5,Takeru Kobayashi,12,4.4583333
2003,1,44.5,Takeru Kobayashi,12,3.7083333
2002,1,50.5,Takeru Kobayashi,12,4.2083333
2001,1,50,Takeru Kobayashi,12,4.1666667
2000,1,25.125,Kazutoyo Arai,12,2.09375
1999,1,21.5,Steve Keiner,12,1.7916667
1998,1,19,Hirofumi Nakajima,12,1.5833333
1997,1,24.5,Hirofumi Nakajima,12,2.0416667
1996,1,22,Ed Krachie,12,1.8333333
1995,1,19.5,Ed Krachie,12,1.625
1994,1,20,Mike DeVito,12,1.6666667
1993,1,17,Mike DeVito,12,1.4166667
1992,1,19,Frankie Dellarosa,12,1.5833333
1991,1,21,Frankie Dellarosa,12,1.75
1990,1,15,Mike DeVito Jay Green,12,1.25
1989,1,15.5,Jay Green,12,1.2916667
1988,1,10,Jay Green,12,0.8333333
1987,1,13.5,Don Wolfman,10,1.35
1986,1,15.5,Mark Heller,10,1.55
1985,1,11.75,Oscar Rodriguez,12,0.9791667
1984,0,9.5,Birgit Felden,10,0.95
1983,1,10.5,Emil Gomez,10,1.05
1982,1,11,Steven Abrams,10,1.1
1981,1,11,Thomas DeBerry,5,2.2
1980,1,9.75,Joe Baldini Paul Siederman,10,0.975
1979,1,10,Luther Frazier,10,1
1978,1,10,Manel Hollenback,6,1.6666667
1975,1,8,Lonnie Brown,3,2.6666667
1975,0,8.5,Sharlene Smith,3,2.8333333
1974,1,10,Roberto Muriel,3,3.3333333
1974,1,9,John Connolly,2,4.5
1972,0,12,Melody Andorfer,5,2.4
1972,1,14,Jason Schechter,3,4.6666667
,,,,,
,,,,,
,,,,,